Geneid_Ls,Transcript_ID,Treatment_logFC,Treatment_pvalue,Interaction_logFC,Interaction_pvalue,A_4_logFC,A_4_pvalue,A_1_logFC,A_1_pvalue
15721,XM_037965016.1,0.020926372,0.998595756,0.043889668,0.979707317,0.03991695,0.934938769,-0.002234179,0.998861757
15722,XM_037965017.1,-0.677444487,0.807347844,-0.661338972,0.809053762,-1.032481897,0.677340049,-0.340521351,0.798926068
15723,XM_037965018.1,-0.07991948,0.913151781,-0.089999133,0.881710101,-0.117347198,0.705704219,-0.028261808,0.945029724
15724,XM_037965019.1,-0.02588766,0.998595756,0.256175193,0.869091298,0.101405136,0.900149194,-0.153274383,0.854969994
15725,XM_037965020.1,-0.030111967,0.997958469,0.117397665,0.795785196,0.026211973,0.91489321,-0.088552305,0.798926068
15726,XM_037965021.1,0.10328092,0.984492845,-0.204027086,0.910061437,-0.009899628,0.986692929,0.213140658,0.810615313
15727,XM_037965022.1,0.11229019,0.962253611,-0.34540664,0.705726368,-0.04832081,0.932032048,0.304591526,0.798926068
15728,XM_037965023.1,0.06870638,0.998595756,1.249369471,0.705726368,0.483863157,0.705704219,-0.71576259,0.798926068
15729,XM_037965024.1,-0.12120349,0.998595756,-1.029286339,0.771777188,-0.371278422,0.75358544,0.681076921,0.798926068
15730,XM_037965025.1,0.028151249,0.998595756,-0.146851619,0.959206716,-0.052881847,0.972891995,0.10721841,0.798926068
15731,XM_037965026.1,-0.533090227,0.820527492,-0.348248235,0.905619852,-0.703088516,0.705704219,-0.341946386,0.798926068
15732,XM_037965027.1,-0.710631809,0.930238553,-0.454198837,0.950840818,-0.928928227,0.705704219,-0.479827876,0.878153821
15733,XM_037965028.1,0.403334566,0.773988439,-0.239465681,0.897903427,0.313514453,0.705704219,0.558303408,0.798926068
15734,XM_037965029.1,0.153693488,0.975557343,-0.264227923,0.880224801,0.02206819,0.980921319,0.280329757,0.798926068
15735,XM_037965030.1,0.324256943,0.864222855,-0.654394642,0.705726368,-0.016530244,0.969969294,0.648978727,0.798926068
15736,XM_037965031.1,-0.356376608,0.732856503,-0.289572274,0.722155462,-0.491183631,0.2911013,-0.217889015,0.798926068
15737,XM_037965032.1,0.093009217,0.97884941,-0.296863416,0.745348893,-0.039263067,0.933206861,0.268908687,0.798926068
15738,XM_037965033.1,0.203864766,0.937331801,0.208254771,0.915756955,0.315303795,0.758778581,0.10721841,0.798926068
15739,XM_037965034.1,-0.025652247,0.998595756,-0.06459692,0.92240785,-0.055495129,0.770569529,0.0125387,0.97868931
15740,XM_037965035.1,-0.033534286,0.998595756,-0.100102184,0.912239438,-0.075853406,0.74614188,0.031588878,0.958508166
15741,XM_037965036.1,-0.001646765,0.998595756,-0.063755939,0.930473702,-0.033028434,0.886880815,0.032920129,0.938528956
15742,XM_037965037.1,0.128298303,0.89471154,-0.0922412,0.932587217,0.087484337,0.801019594,0.182769677,0.798926068
15743,XM_037965038.1,-0.234090048,0.951928908,0.387650048,0.854966827,-0.094289719,0.91489321,-0.472993308,0.798926068
15744,XM_037965039.1,-0.029148314,0.998595756,0.181776808,0.778936268,0.053780191,0.877179765,-0.131429763,0.798926068
15745,XM_037965040.1,-0.050063413,0.998595756,-1.114046054,0.682953725,-0.635850163,0.481289325,0.468216711,0.798926068
15746,XM_037965041.1,-0.120464056,0.858779164,0.044842454,0.959255993,-0.102778769,0.705704219,-0.145930443,0.798926068
15747,XM_037965042.1,0.153728199,0.97884941,0.247865579,0.916217824,0.263283441,0.705704219,0.017487076,0.992711406
15748,XM_037965043.1,0.051693185,0.97884941,-0.015563755,0.984790758,0.043573147,0.852049291,0.059828473,0.904424726
15749,XM_037965044.1,-0.094638605,0.987791661,0.269082402,0.856501408,0.01199592,0.982209189,-0.256556284,0.798926068
15750,XM_037965045.1,-0.113190811,0.998595756,-1.188508979,0.705726368,-0.59103717,0.705704219,0.616067836,0.798926068
15751,XM_037965046.1,0.07639275,0.998595756,-0.054688297,0.979916558,0.047595141,0.941236115,0.099739318,0.93876994
15752,XM_037965047.1,0.221978163,0.97884941,0.562128371,0.844342975,0.506417365,0.705704219,-0.056982586,0.979132916
15753,XM_037965048.1,0.066124903,0.998595756,-0.33273694,0.953710606,-0.053346996,0.979647392,0.27815386,0.904424726
15754,XM_037965049.1,-0.101688375,0.998595756,0.145416891,0.974862897,-0.021390043,0.991691484,-0.171349175,0.932136242
15755,XM_037965050.1,-0.090120892,0.998595756,0.165017985,0.940628015,-0.008622202,0.991144061,-0.176182201,0.868143177
15756,XM_037965051.1,-0.091376198,0.928352463,0.226595666,0.705726368,0.014121444,0.970238976,-0.208581899,0.798926068
15757,XM_037965052.1,0.207899087,0.737311759,-0.092343774,0.905043383,0.167900375,0.682767844,0.26751135,0.798926068
15758,XM_037965053.1,-0.239810759,0.998595756,2.907093864,0.674209409,1.550655644,0.674287192,-1.351743841,0.798926068
15759,XM_037965054.1,0.323000468,0.963867532,0.528137886,0.871627077,0.610100258,0.705704219,0.097655977,0.958222023
15760,XM_037965055.1,-0.40273555,0.91177687,-1.608090611,0.705726368,-0.902488386,0.378107498,0.711842484,0.798926068
15761,XM_037965056.1,0.392844659,0.778175363,-0.021178502,0.992323301,0.391620853,0.705704219,0.410882587,0.798926068
15762,XM_037965057.1,0.168122951,0.880982412,0.077075256,0.955390765,0.199876959,0.705704219,0.131077231,0.839240652
15763,XM_037965058.1,0.134348679,0.964784738,-0.080076023,0.962797113,0.095536591,0.861467508,0.186078274,0.832684276
15764,XM_037965059.1,-0.065223527,0.97884941,0.032076747,0.976282909,-0.04790665,0.897761019,-0.076390491,0.886102556
15765,XM_037965060.1,0.330674985,0.90764262,0.662192519,0.705726368,0.667385809,0.579550841,0.014044615,0.994910996
15766,XM_037965061.1,0.924556788,0.582880178,0.31387097,0.924960218,1.021978424,0.374792336,0.70626822,0.798926068
